sentence,course,program
Exploration of methods to measure customer experiences and translate data into strategic decisions.,RPTA-416,"Recreation, Parks, and Tourism Administration"
"Analytics software (CRM, PowerBI) will be used to visualize datasets.",RPTA-416,"Recreation, Parks, and Tourism Administration"
Techniques for interpreting datasets and building compelling presentations.,RPTA-416,"Recreation, Parks, and Tourism Administration"
"Orientation to Experience Industry Management and Recreation, Parks, and Tourism Administration fields.",RPTA-110,"Recreation, Parks, and Tourism Administration"
Development of two- to four-year plan toward graduation.,RPTA-110,"Recreation, Parks, and Tourism Administration"
"Exploration of skills, learning strategies, and problem solving for college success.",RPTA-110,"Recreation, Parks, and Tourism Administration"
Career planning in experience industry management and introduction to professionalism.,RPTA-110,"Recreation, Parks, and Tourism Administration"
"Exploration of professionalism, internship opportunities and practices.",RPTA-463,"Recreation, Parks, and Tourism Administration"
Internship selection process and procedures introduced.,RPTA-463,"Recreation, Parks, and Tourism Administration"
"Financing experience industry products and services in public, private, commercial and voluntary settings.",RPTA-424,"Recreation, Parks, and Tourism Administration"
"Emphasis on sources and methods of financing; operational/ financial cost analysis; forecasting, budgeting, pricing and fiscal master planning through use of computer technology.",RPTA-424,"Recreation, Parks, and Tourism Administration"
Web and print publishing technology and its impact on society.,GRC-377,"Recreation, Parks, and Tourism Administration"
"The technologies of digital photography, typography, graphics, layout, and design for print and web publishing including decision-making considerations.",GRC-377,"Recreation, Parks, and Tourism Administration"
The application of scientific and mathematical principles to web and print publishing technologies.,GRC-377,"Recreation, Parks, and Tourism Administration"
Evaluation of experience industry programs using a variety of research methodologies.,RPTA-360,"Recreation, Parks, and Tourism Administration"
"Needs assessment, program evaluation, research design, and decision making based on data analysis.",RPTA-360,"Recreation, Parks, and Tourism Administration"
"Principles of orienteering, basic map reading and compass skills; course running techniques applied in field orienteering events.",MSL-111,"Recreation, Parks, and Tourism Administration"
"Role of conventions, meetings management, and events in the hospitality and travel industry.",RPTA-317,"Recreation, Parks, and Tourism Administration"
"Factors involved in meeting planning for small and large groups to include committees, amenities, operations logistics, venue selection, technology, virtual meetings, registration, catering arrangements, sustainable operations and evaluation.",RPTA-317,"Recreation, Parks, and Tourism Administration"
"History, philosophy, theory, and organization of the experience industry.",RPTA-101,"Recreation, Parks, and Tourism Administration"
"Exploration of the experience industry profession; emphasis upon functions, areas, facilities, clientele, and career opportunities.",RPTA-101,"Recreation, Parks, and Tourism Administration"
"Foundational knowledge, introductory frameworks, and entry level experience design theory.",RPTA-121,"Recreation, Parks, and Tourism Administration"
Human-centered design.,RPTA-121,"Recreation, Parks, and Tourism Administration"
Examine experience design in terms of the experience industry as well as broader concepts of experience.,RPTA-121,"Recreation, Parks, and Tourism Administration"
"Creative tools and processes including design thinking, narrative storyboarding, and experience mapping.",RPTA-121,"Recreation, Parks, and Tourism Administration"
Introduction to the interaction process in two-person (dyadic) communication settings.,PSY-212,"Recreation, Parks, and Tourism Administration"
"Emphasis on the functions of varying messages in the initiation, development, maintenance and termination of personal and professional relationships.",PSY-212,"Recreation, Parks, and Tourism Administration"
"Techniques and models used in leadership, facilitation, and teambuilding.",MSL-275,"Recreation, Parks, and Tourism Administration"
"Emphasis on leadership and facilitation styles and models, teambuilding and group dynamics, and working with various populations.",MSL-275,"Recreation, Parks, and Tourism Administration"
"Individual investigation, research, studies, or surveys of selected problems.",RPTA-400,"Recreation, Parks, and Tourism Administration"
"Hospitality sales and service in the convention and event industry, with emphasis on customer organization characteristics, site selection, sales, and service provision.",RPTA-393,"Recreation, Parks, and Tourism Administration"
"Hotel and venue sales, contract negotiation, sales management and catering/event service operations.",RPTA-393,"Recreation, Parks, and Tourism Administration"
"The study, analysis, and practice of management processes as they are applied to experience industry management organizations:  planning, organizing, leading, and controlling.",RPTA-405,"Recreation, Parks, and Tourism Administration"
"Emphasis upon application of theories, practices and case studies in experience industry management settings.",RPTA-405,"Recreation, Parks, and Tourism Administration"
